"obs_beta","true_beta","sim","ts_length","freq_cutoff"
-0.00985272686505523,0,8,1825,0.421875
0.00160771967731985,0,8,1825,0.4375
-0.00176505908608503,0,8,1825,0.453125
-0.0100345893528695,0,8,1825,0.46875
0.0102523628996269,0,8,1825,0.484375
-0.013380440115444,0,8,1825,0.5
-0.0257589081382303,0,8,1825,0.515625
-0.015522129329561,0,8,1825,0.53125
-0.0504059307799403,0,8,1825,0.546875
-0.0562581293694576,0,8,1825,0.5625
0.245695586602575,0,9,1825,0.015625
-0.147493688253874,0,9,1825,0.03125
0.0696727747750323,0,9,1825,0.046875
0.107344198032064,0,9,1825,0.0625
0.00412437403356735,0,9,1825,0.078125
0.0754521807913436,0,9,1825,0.09375
0.00706233015777427,0,9,1825,0.109375
-0.11395291962563,0,9,1825,0.125
-0.0488070933886792,0,9,1825,0.140625
0.0510914165438444,0,9,1825,0.15625
0.0577107449481936,0,9,1825,0.171875
0.0401239315997863,0,9,1825,0.1875
0.0394003714606561,0,9,1825,0.203125
0.0339190749516256,0,9,1825,0.21875
-0.0276180670816995,0,9,1825,0.234375
-0.0368716386556727,0,9,1825,0.25
-0.036028893072686,0,9,1825,0.265625
-0.0188917012371988,0,9,1825,0.28125
-0.028113416692429,0,9,1825,0.296875
-0.056140254404015,0,9,1825,0.3125
-0.0368429980504913,0,9,1825,0.328125
-0.02003167266015,0,9,1825,0.34375
-0.0240185447494395,0,9,1825,0.359375
-0.0137498940506238,0,9,1825,0.375
0.00678260128520606,0,9,1825,0.390625
0.0151577299944775,0,9,1825,0.40625
-0.0128856621945947,0,9,1825,0.421875
0.013267875283663,0,9,1825,0.4375
0.00813446449587804,0,9,1825,0.453125
0.0140275589263256,0,9,1825,0.46875
0.0043703369983346,0,9,1825,0.484375
-0.013900664205485,0,9,1825,0.5
-0.00675985383789774,0,9,1825,0.515625
-0.0151246129795402,0,9,1825,0.53125
-0.00116042614312349,0,9,1825,0.546875
0.00799212665248252,0,9,1825,0.5625
-0.63093315838914,0,10,1825,0.015625
0.199448349572968,0,10,1825,0.03125
0.309875166947526,0,10,1825,0.046875
0.161549549413466,0,10,1825,0.0625
0.0679567512801698,0,10,1825,0.078125
0.089525258740299,0,10,1825,0.09375
0.0540939701793746,0,10,1825,0.109375
0.0358363992165508,0,10,1825,0.125
0.0334476489175691,0,10,1825,0.140625
-0.062815904694124,0,10,1825,0.15625
-0.0206183315213073,0,10,1825,0.171875
