"obs_beta","true_beta","sim","ts_length","method"
1.83026344369758,1.831,5,1825,"Eke"
1.69458090962012,1.831,5,1825,"AWC"
1.61495146013636,1.831,6,1825,"original"
1.94108203460801,1.831,6,1825,"Eke"
1.79710065096867,1.831,6,1825,"AWC"
1.75021957878328,1.831,7,1825,"original"
1.89297149589494,1.831,7,1825,"Eke"
1.86445653594118,1.831,7,1825,"AWC"
1.71370018756756,1.831,8,1825,"original"
1.76891762842423,1.831,8,1825,"Eke"
1.72450823124647,1.831,8,1825,"AWC"
1.61108454738182,1.831,9,1825,"original"
1.84339269786688,1.831,9,1825,"Eke"
1.94047142994648,1.831,9,1825,"AWC"
1.62876809945815,1.831,10,1825,"original"
1.77742130849111,1.831,10,1825,"Eke"
1.58541797330953,1.831,10,1825,"AWC"
1.6941712536762,1.831,1,3650,"original"
1.63752664004802,1.831,1,3650,"Eke"
1.78175662665865,1.831,1,3650,"AWC"
1.713729345848,1.831,2,3650,"original"
1.83320227559479,1.831,2,3650,"Eke"
1.76713694353537,1.831,2,3650,"AWC"
1.64133977080228,1.831,3,3650,"original"
1.69104976194219,1.831,3,3650,"Eke"
1.7152369436199,1.831,3,3650,"AWC"
1.64593165218326,1.831,4,3650,"original"
1.86859585466065,1.831,4,3650,"Eke"
1.76846576311393,1.831,4,3650,"AWC"
1.67009517101934,1.831,5,3650,"original"
2.04192504318717,1.831,5,3650,"Eke"
1.82540378553144,1.831,5,3650,"AWC"
1.68213246852614,1.831,6,3650,"original"
1.92654195314159,1.831,6,3650,"Eke"
1.90275241713222,1.831,6,3650,"AWC"
1.65538748978775,1.831,7,3650,"original"
1.99716129394522,1.831,7,3650,"Eke"
1.76965001670376,1.831,7,3650,"AWC"
1.73074681152274,1.831,8,3650,"original"
1.92041272649834,1.831,8,3650,"Eke"
1.83294191917179,1.831,8,3650,"AWC"
1.66874881166899,1.831,9,3650,"original"
1.77289496251943,1.831,9,3650,"Eke"
1.77184951775652,1.831,9,3650,"AWC"
1.65679858295645,1.831,10,3650,"original"
1.90586247708059,1.831,10,3650,"Eke"
1.75787541583886,1.831,10,3650,"AWC"
1.45974438030629,1.594,1,1825,"original"
1.43344185210948,1.594,1,1825,"Eke"
1.41367295476665,1.594,1,1825,"AWC"
1.48840235042654,1.594,2,1825,"original"
1.67135963309215,1.594,2,1825,"Eke"
1.51317349818056,1.594,2,1825,"AWC"
1.55879831958519,1.594,3,1825,"original"
1.64144774466343,1.594,3,1825,"Eke"
1.58989431690471,1.594,3,1825,"AWC"
1.4292131175087,1.594,4,1825,"original"
1.65461457119145,1.594,4,1825,"Eke"
1.45463049769475,1.594,4,1825,"AWC"
1.59166182943923,1.594,5,1825,"original"
