"time_window_width","Time series type","time_series_type","ts_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","simulation_num"
"6 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.31628996682122e-07,4.02954498755678e-07,-0.822993657363774,0.413475367046979,-1.13615361135447e-06,4.72895617990229e-07,2
"6 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-8.68612580885335e-07,4.18584083856597e-07,-2.07512090016044,0.0418771512890864,-1.70434266905317e-06,-3.2882492717503e-08,2
"6 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",3.03951650055689e-07,4.7432814478691e-07,0.64080458517223,0.523868484822119,-6.43075046733515e-07,1.25097834684489e-06,2
"6 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-4.20233996209819e-07,4.96030891417456e-07,-0.847193195990193,0.39994913399858,-1.41059162471511e-06,5.70123632295471e-07,2
"7 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-7.32140922468914e-07,3.60191252165041e-07,-2.03264492979259,0.046840339946123,-1.45369070537873e-06,-1.05911395591013e-08,2
"7 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",8.02021908592707e-07,3.5507582277056e-07,2.25873421156853,0.0278131743353616,9.07195621403102e-08,1.5133242550451e-06,2
"7 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-8.9338194022669e-08,3.87741721749488e-07,-0.23040645102512,0.818615589551701,-8.66078199427426e-07,6.87401811382088e-07,2
"7 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-7.10896273195253e-07,3.78289295179061e-07,-1.87923973069012,0.0654192023826601,-1.46870079280221e-06,4.69082464117047e-08,2
"7 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",3.81408730433122e-07,4.99291237705029e-07,0.763900308337578,0.448133342177054,-6.18791807501543e-07,1.38160926836779e-06,2
"7 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-1.48347034293107e-07,4.20489439961785e-07,-0.352796099484898,0.725565781641519,-9.90688602270093e-07,6.93994533683879e-07,2
"8 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-1.15689476439511e-06,2.69890973407891e-07,-4.28652633241893,8.473722199579e-05,-1.69926098128031e-06,-6.145285475099e-07,2
"8 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",2.37337829423893e-07,3.65326786814815e-07,0.649658984749455,0.518946578556254,-4.96813834819152e-07,9.71489493666938e-07,2
"8 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.62845507100308e-07,3.30006017850095e-07,-1.09951178910056,0.276917714749202,-1.02601742867549e-06,3.00326414474873e-07,2
"8 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-1.00086770756873e-06,3.13258521078733e-07,-3.19502149254283,0.00244663916264632,-1.63038427434828e-06,-3.71351140789185e-07,2
"8 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",-2.13471353789068e-07,5.41623515489068e-07,-0.394132358888279,0.695193415882582,-1.30190455836278e-06,8.74961850784647e-07,2
"8 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-4.41378387568931e-07,4.96569070582394e-07,-0.888855979393292,0.378423364616995,-1.43927129533559e-06,5.5651452019773e-07,2
"9 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-1.27420440946158e-06,3.33902537757187e-07,-3.81609681082502,0.000429220399241776,-1.94758305265887e-06,-6.00825766264289e-07,2
"9 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",5.08236136001471e-07,3.59223140499194e-07,1.4148201457601,0.164322405197709,-2.16206369225374e-07,1.23267864122832e-06,2
"9 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",3.57628210454615e-07,3.775311010184e-07,0.94728145440178,0.348788748032573,-4.03735815935084e-07,1.11899223684431e-06,2
"9 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-6.90407279203175e-07,4.35082230977832e-07,-1.58684319893163,0.119875437699364,-1.56783422043881e-06,1.87019662032458e-07,2
"9 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",7.38202999625519e-07,5.50801850877921e-07,1.34023333154908,0.187208516147537,-3.72594796360233e-07,1.84900079561127e-06,2
"9 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",7.09349584181842e-07,4.6828582241982e-07,1.51477911613115,0.137145217738009,-2.35038780901195e-07,1.65373794926488e-06,2
"10 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-4.29143597589026e-07,3.51608841943821e-07,-1.22051423740246,0.229598422018967,-1.14033960959343e-06,2.82052414415381e-07,3
"10 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",4.21758134416497e-07,3.9060718684237e-07,1.07975006252688,0.286885974180105,-3.68319475710668e-07,1.21183574454366e-06,3
"10 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.29379529412368e-07,3.36249596841027e-07,-0.979568548205853,0.333336906214258,-1.00950853580873e-06,3.50749476983998e-07,3
"10 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",1.24955278935958e-07,5.59726783045233e-07,0.22324334429046,0.824511332325291,-1.00719900283102e-06,1.25710956070294e-06,3
"10 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",6.02758902150681e-07,6.36813643243292e-07,0.94652322315337,0.349709783900099,-6.85318271793054e-07,1.89083607609442e-06,3
"10 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",1.83080280150292e-07,4.59247187174383e-07,0.398653024478456,0.692323230780855,-7.45834835399756e-07,1.11199539570034e-06,3
"5 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-6.81978098395691e-07,3.05179844619129e-07,-2.23467607845078,0.0282280544386303,-1.28930534407633e-06,-7.46508527150479e-08,3
"5 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",-1.16812752078706e-08,3.41796789077589e-07,-0.0341760823423621,0.972821867519321,-6.91878562653401e-07,6.6851601223766e-07,3
"5 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.96360280523709e-07,3.66440607737246e-07,-1.0816494464716,0.282658073174266,-1.12560033004385e-06,3.32879768996433e-07,3
"5 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-3.95759335651335e-07,4.01837978279529e-07,-0.984872901625128,0.327655814122779,-1.19544239749626e-06,4.03923726193594e-07,3
"5 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",9.21897485028944e-08,4.68752563806763e-07,0.196670387793118,0.844584257584994,-8.40657582348185e-07,1.02503707935397e-06,3
"5 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-7.25851999268134e-08,4.07333130686397e-07,-0.1781961604854,0.85901939338717,-8.83203963570869e-07,7.38033563717242e-07,3
"6 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-3.21329969133578e-07,3.3118061992451e-07,-0.970255956422882,0.335461314681243,-9.82553411121423e-07,3.39893472854267e-07,3
"6 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",2.14300721724348e-07,3.47410077246109e-07,0.616852347586152,0.539454266147255,-4.79325877290706e-07,9.07927320739403e-07,3
"6 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.54823050985081e-07,3.58276868151841e-07,-0.990359921407776,0.325615240996215,-1.07014589807071e-06,3.60499796100552e-07,3
"6 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-4.72602904918957e-07,4.05470947156029e-07,-1.16556539558208,0.247985290800274,-1.28215177092958e-06,3.36945961091665e-07,3
"6 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",7.51652108281479e-08,5.07123644189688e-07,0.148218706994526,0.88262208204226,-9.37339813170416e-07,1.08767023482671e-06,3
"6 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",3.13390723286578e-08,4.26566785683189e-07,0.0734681493742303,0.941655796432253,-8.20328994273254e-07,8.8300713893057e-07,3
"7 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-8.39905407062716e-07,3.55257228456732e-07,-2.36421764227385,0.0215609990621096,-1.55157115277228e-06,-1.28239661353151e-07,3
"7 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",2.55991153778302e-07,3.11436525139329e-07,0.821968950699592,0.414580614596391,-3.67891174717292e-07,8.79873482273895e-07,3
"7 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-2.09511043952398e-07,3.28146741980468e-07,-0.638467542563224,0.52577199512476,-8.66867959244938e-07,4.47845871340142e-07,3
"7 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-5.78580930448388e-07,4.78791356300757e-07,-1.2084197486743,0.231963972192149,-1.53771527122246e-06,3.80553410325688e-07,3
"7 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",1.48438792904999e-07,5.007310015361e-07,0.29644418350298,0.767987553562174,-8.54645938561593e-07,1.15152352437159e-06,3
"7 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-5.39661826126532e-08,3.9362302990662e-07,-0.137101181873062,0.891442557288814,-8.42487863997868e-07,7.34555498772562e-07,3
"8 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-1.76490804715251e-07,3.63965725891166e-07,-0.484910507117435,0.62990067432256,-9.07907314629906e-07,5.54925705199405e-07,3
"8 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",-4.59710452389454e-08,3.76635155365318e-07,-0.122057233861655,0.903352904436502,-8.02847726893413e-07,7.10905636415522e-07,3
"8 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.18294131032925e-07,3.88448270522705e-07,-0.819399017029012,0.41652658634974,-1.09891015638103e-06,4.62321894315184e-07,3
"8 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-1.72807211322134e-07,4.63848897699563e-07,-0.372550656429634,0.711089510878362,-1.10494646990887e-06,7.59332047264602e-07,3
"8 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",3.30269431307327e-08,5.21663775441064e-07,0.0633107850028663,0.94977659360844,-1.01529566210298e-06,1.08134954836444e-06,3
