"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
154,753,127359,142641,747.08580942623,1300.5,201.4
155,754,127413,142587,748.506268579553,1295.3,207.5
156,755,127315,142685,751.084594489717,1290.3,210.9
157,756,126850,143150,750.507024427288,1285.9,211.4
158,757,126786,143214,749.291473467285,1294.3,211.3
159,758,127511,142489,750.581398315897,1296.7,217
160,759,127223,142777,751.01660119123,1302.6,212.5
161,760,126956,143044,749.452714759113,1306.4,214
162,761,127206,142794,753.784555984556,1305.4,211.7
163,762,127110,142890,751.452970614654,1302.9,213.6
164,763,127408,142592,753.921856866538,1313.4,216.9
165,764,126851,143149,754.993641318453,1314.4,214
166,765,127100,142900,759.223955004474,1309.7,214.8
167,766,127242,142758,758.058861411644,1300.1,225
168,767,127310,142690,758.678953473386,1304.1,217.6
169,768,127207,142793,761.468175388967,1302.9,217.2
170,769,127153,142847,763.588386764517,1302.9,228.4
171,770,127015,142985,766.492892815982,1317.6,225.3
172,771,127239,142761,770.277665231704,1317.9,228.5
173,772,127352,142648,768.814781720705,1317.3,234.3
174,773,127140,142860,768.913617886179,1323.6,230.2
175,774,126881,143119,767.418487182725,1311,225.8
176,775,127464,142536,768.796869129618,1320.9,222.5
177,776,127126,142874,770.56657009699,1316.1,236
178,777,127369,142631,770.457419683835,1321.5,226.5
179,778,127230,142770,768.996442185515,1330.8,232.3
180,779,127317,142683,771.043720694462,1320.3,237.2
181,780,127280,142720,773.543819655522,1330.3,236.2
182,781,127378,142622,770.871538461538,1322.8,242.8
183,782,127321,142679,772.21189258312,1322.6,241.9
184,783,127259,142741,776.26996052464,1324.7,244.7
185,784,126899,143101,774.084717394103,1319.5,245.5
186,785,127104,142896,777.487084398977,1330.4,244.2
187,786,127284,142716,783.343661971831,1323.7,240
188,787,127176,142824,780.741752707127,1329.9,241.8
189,788,126958,143042,782.465303514377,1324.4,243.3
190,789,126984,143016,785.061933341846,1334.9,240.6
191,790,127344,142656,785.849583600256,1333.2,247.2
192,791,126961,143039,784.940264361973,1334.6,242.8
193,792,126964,143036,789.55181678608,1335.4,255.4
194,793,126996,143004,793.318384507581,1333.9,254.2
195,794,127230,142770,792.888802689423,1338,256
196,795,127222,142778,791.041634441866,1345.3,254.6
197,796,127248,142752,794.656294567613,1345.5,260.8
198,797,126949,143051,792.44623233909,1334.7,260
199,798,127149,142851,792.4660874076,1342.8,250.9
200,799,127031,142969,798.632891860615,1340.2,254.8
201,800,127321,142679,794.796836509789,1342.3,244.9
202,801,127008,142992,800.684429967427,1349.5,256.6
203,802,127271,142729,799.135131630139,1349.9,246.2
204,803,127306,142694,801.253444945267,1348.9,256.5
205,804,127005,142995,800.984691874918,1348.1,255.7
206,805,127192,142808,803.840513290559,1351.5,258.6
207,806,127067,142933,804.630558428128,1356.2,260.4
208,807,127457,142543,803.748351222035,1358.5,266
209,808,127121,142879,804.331628638867,1346.9,259.4
210,809,126992,143008,809.919576719577,1354.5,261.5
211,810,127139,142861,807.404454401687,1343.4,260
212,811,127129,142871,810.474382553862,1347.7,261.2
213,812,127121,142879,811.086179716238,1350.5,262.9
214,813,127192,142808,815.027354435326,1355,272.1
215,814,127065,142935,812.44289044289,1358.7,278.4
216,815,127391,142609,818.971969893589,1364.6,274.2
217,816,127404,142596,814.329265125941,1358.9,263.4
218,817,127443,142557,818.543994778068,1360.9,271.5
219,818,127387,142613,817.597601856627,1363.8,267.6
220,819,127233,142767,818.362441436752,1367.1,270.1
221,820,126824,143176,821.483132845188,1367,277.2
222,821,127008,142992,822.370468029005,1364.8,285.6
223,822,127235,142765,825.211035946412,1365.4,283.1
224,823,127441,142559,824.36844891477,1369.2,285.9
225,824,127023,142977,822.881908237748,1363.4,285.6
226,825,127055,142945,822.968107538218,1361.1,273.7
227,826,127332,142668,822.52903907075,1370.3,284.6
228,827,127303,142697,826.147928213249,1366.6,279.7
229,828,127259,142741,830.407821964709,1376.6,280.6
230,829,127346,142654,827.933656110966,1380.4,279.5
231,830,127310,142690,833.391511305038,1374.9,286.2
232,831,126979,143021,830.950640341516,1376,291.7
233,832,126918,143082,836.156022742298,1375.6,283.8
234,833,126734,143266,830.755214482487,1366.1,280.7
235,834,127183,142817,830.618671926364,1376,288.2
236,835,127058,142942,831.010260457774,1385.6,288.9
237,836,127087,142913,834.676212893945,1375.6,282.8
238,837,127254,142746,835.791007383966,1380.2,287.8
239,838,127199,142801,838.14024229655,1384.6,288.2
240,839,127032,142968,836.166339227243,1385.2,286.5
241,840,127012,142988,838.780769735978,1382.8,290.9
242,841,127080,142920,839.613769722258,1391.5,287.2
243,842,126961,143039,840.243727130162,1387.3,292.8
244,843,126928,143072,841.941483122638,1393.9,295.7
245,844,126968,143032,846.340028324965,1397.4,298.3
246,845,127189,142811,845.117325702393,1390.5,298.7
247,846,126895,143105,845.783145046098,1392.6,303.6
248,847,127095,142905,845.779367371046,1393.9,299.8
249,848,126977,143023,846.930441578742,1400.1,307
250,849,127167,142833,846.02227755209,1392.5,303.7
251,850,126927,143073,846.23612565445,1386.8,299.8
252,851,127067,142933,849.173783257625,1398.4,311.1
253,852,127242,142758,849.815289095848,1398.3,310.4
254,853,127101,142899,846.657915157786,1390.3,316.6
255,854,127253,142747,850.04039497307,1402.3,313.4
