"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
231,830,127303,142697,824.484718428924,1377.7,287.1
232,831,127051,142949,826.634547127646,1379.1,278.5
233,832,126563,143437,828.674271396545,1379.7,288
234,833,127028,142972,829.74234020074,1368.4,291.6
235,834,126780,143220,833.028150486714,1373.5,282.6
236,835,126984,143016,832.866439701453,1384.7,282.4
237,836,127467,142533,831.122329338197,1387.9,288
238,837,127265,142735,834.391535765286,1383.9,287.2
239,838,127242,142758,830.958761562179,1384.1,290.3
240,839,127314,142686,833.157368967307,1378.3,289.6
241,840,127172,142828,834.152999093147,1385.1,295
242,841,127234,142766,838.405546834118,1377.3,290.1
243,842,127284,142716,837.347537138389,1382.2,287.8
244,843,127222,142778,835.379728672058,1380,297.6
245,844,127286,142714,842.312686277051,1383,297.2
246,845,127219,142781,841.42987012987,1388.6,299.8
247,846,127472,142528,838.999485530547,1393.3,295.2
248,847,127119,142881,841.324258691207,1397,301.4
249,848,127220,142780,844.620212629691,1397.1,301.8
250,849,127136,142864,842.554312893688,1395.4,302.8
251,850,127198,142802,845.754930652755,1409.5,307.4
252,851,126911,143089,843.043286104251,1400.3,305.3
253,852,127100,142900,844.028553054662,1402.2,303.5
254,853,126687,143313,848.98811369509,1392.4,301.1
255,854,127308,142692,848.337776035542,1398,309.9
256,855,126895,143105,847.86890362856,1403.5,305.2
257,856,127161,142839,850.313560419635,1392.3,311.1
258,857,127306,142694,852.70203394222,1404.1,307.7
259,858,127114,142886,851.342248766554,1407.4,311.3
260,859,126941,143059,854.234804112977,1401,317.8
261,860,126936,143064,855.924625709861,1411.3,321
262,861,127371,142629,859.664862775415,1404,316.7
263,862,127212,142788,858.796562339661,1402.6,310.5
264,863,127299,142701,856.362389437252,1398.7,310.4
265,864,126688,143312,858.801006581494,1410.6,318.2
266,865,127216,142784,858.6066442606,1413.8,313.3
267,866,127187,142813,858.069803717665,1414.3,320.1
268,867,127244,142756,859.795645330535,1408.1,321.2
269,868,127322,142678,857.477805420977,1406,315.5
270,869,127241,142759,858.243844944997,1406.6,321.8
271,870,127112,142888,860.008984725966,1410.4,324
272,871,127385,142615,860.20279093586,1413.8,321.9
273,872,127489,142511,858.938896020539,1415.7,321.9
274,873,127092,142908,862.785373403844,1428.6,334.5
275,874,127360,142640,864.643743536711,1424.6,327.8
276,875,127372,142628,865.908573645416,1424.7,326.7
277,876,126830,143170,863.98014762026,1425.8,337.7
278,877,127170,142830,868.888161273754,1425.4,337.3
279,878,126961,143039,870.662538304392,1428,343.7
280,879,127280,142720,875.285115037498,1430.4,336.7
